SKU,Product,Variation,Supplier Code,Unit Cost (CNY),Qty,Shipping Alloc (CNY),Line Total (CNY),Nett Cost (AUD)
sticker-40,Sticker,,,2.75,2,2.18,7.68,0.820
sticker-41,Sticker,,,3.58,2,2.84,10.00,1.065
sticker-42,Sticker,,,2.75,2,2.18,7.68,0.820
sticker-43,Sticker,,,2.75,2,2.18,7.68,0.820
sticker-44,Sticker,,,2.75,2,2.18,7.68,0.820
sticker-45,Sticker,,,2.75,2,2.18,7.68,0.820
sticker-46,Sticker,,,2.75,2,2.18,7.68,0.820
bag-06,Bag,,,4.5,2,3.57,12.57,1.340
bag-07,Bag,,,4.5,2,3.57,12.57,1.340
bag-dog,Bag,dog,,4.5,4,7.15,25.15,1.340
bag-dog-2,Bag,dog,,4.5,4,7.15,25.15,1.340
bag-dog-3,Bag,dog,,4.5,4,7.15,25.15,1.340
bag-dog-4,Bag,dog,,4.5,4,7.15,25.15,1.340
notebook-13,Notebook,,,4.5,2,3.57,12.57,1.340
notebook-14,Notebook,,,4.5,2,3.57,12.57,1.340
notebook-yellow,Notebook,yellow,,4.5,2,3.57,12.57,1.340
notebook-dog,Notebook,dog,,4.5,2,3.57,12.57,1.340
notebook-dog-2,Notebook,dog,,4.5,2,3.57,12.57,1.340
notebook-dog-3,Notebook,dog,,4.5,2,3.57,12.57,1.340
notebook-dog-4,Notebook,dog,,4.5,2,3.57,12.57,1.340
notebook-dog-5,Notebook,dog,,4.5,2,3.57,12.57,1.340
bag-dog-5,Bag,dog,,4.5,2,3.57,12.57,1.340
bag-green-dog,Bag,green-dog,,4.5,2,3.57,12.57,1.340
bag-dog-6,Bag,dog,,4.5,2,3.57,12.57,1.340
bag-dog-7,Bag,dog,,4.5,2,3.57,12.57,1.340
bag-dog-8,Bag,dog,,4.5,2,3.57,12.57,1.340
bag-08,Bag,,,4.5,2,3.57,12.57,1.340
bag-09,Bag,,,4.5,2,3.57,12.57,1.340
bag-10,Bag,,,4.5,2,3.57,12.57,1.340
bag-11,Bag,,,4.5,2,3.57,12.57,1.340
bag-12,Bag,,,4.5,2,3.57,12.57,1.340
model-cat,Model,cat,,38,20,301.70,1061.70,11.307
pen-dot-heart-bunny,Pen,dot-heart-bunny,BDKLXKXSMFTB5BJB,3.2,3,3.81,13.41,0.953
pen-bunny,Pen,bunny,BQYYKXSMFTB5BJB,3.2,3,3.81,13.41,0.953
pen-fair-isle-pink-bunny,Pen,fair-isle-pink-bunny,FSFEDKXSMFTB5BJB,3.2,3,3.81,13.41,0.953
pen-bunny-2,Pen,bunny,TSDGMFTB5BJB,3.2,3,3.81,13.41,0.953
pen-bunny-3,Pen,bunny,JTBLMFTB5BJB,3.2,3,3.81,13.41,0.953
pen-blue-rainbow-bunny-b,Pen,blue-rainbow-bunny-b,LSYYMFTCHPMBJB,6,2,4.76,16.76,1.785
pen-blue-rainbow-bunny-b-2,Pen,blue-rainbow-bunny-b,LSPGMFTCHPMBJB,6,2,4.76,16.76,1.785
pen-rainbow,Pen,rainbow,SCKLMBJB,3.2,5,6.35,22.35,0.952
pen-rainbow-dog,Pen,rainbow-dog,SCYGGBJB,3.2,5,6.35,22.35,0.952
pen-rainbow-2,Pen,rainbow,SCMLDBJB,3.2,5,6.35,22.35,0.952
pen-rainbow-cat,Pen,rainbow-cat,SCKDMBJB,3.2,5,6.35,22.35,0.952
pen-rainbow-dog-2,Pen,rainbow-dog,SCPQGBJB,3.2,5,6.35,22.35,0.952
pen-rainbow-dog-3,Pen,rainbow-dog,SCBDGBJB,3.2,5,6.35,22.35,0.952
pen-blue-dot-rainbow-bunny-b,Pen,blue-dot-rainbow-bunny-b,BDYYMFTQCPMBJB,6,2,4.76,16.76,1.785
pen-bunny-4,Pen,bunny,PTMFTB5BJB,3.2,5,6.35,22.35,0.952
pen-star-bunny,Pen,star-bunny,XXMFTB5BJB,3.2,5,6.35,22.35,0.952
pen-bunny-5,Pen,bunny,YTMFTB5BJB,3.2,5,6.35,22.35,0.952
pen-bunny-6,Pen,bunny,YYMFTB5BJB,3.2,5,6.35,22.35,0.952
pen-bear-2,Pen,bear,MTQSXB5BJB,3.2,3,3.81,13.41,0.953
pen-bear-3,Pen,bear,SYQSXB5BJB,3.2,3,3.81,13.41,0.953
sticker-rainbow-bunny-b,Sticker,rainbow-bunny-b,PTMFTQCPMBJB,6,2,4.76,16.76,1.785
pen-heart-bunny,Pen,heart-bunny,B5KLXMFTBJB,3.2,5,6.35,22.35,0.952
pen-bunny-7,Pen,bunny,B5QTYMFTBJB,3.2,5,6.35,22.35,0.952
pen-bunny-8,Pen,bunny,B5TPSMFTBJB,3.2,5,6.35,22.35,0.952
pen-bunny-9,Pen,bunny,JSMFTB5BJB,3.2,3,3.81,13.41,0.953
pen-pink-strawberry-bear,Pen,pink-strawberry-bear,FSCMQSXB5BJB,3.2,3,3.81,13.41,0.953
pen-yellow-bear,Pen,yellow-bear,HSBDQSXB5BJB,3.2,3,3.81,13.41,0.953
pen-green-bear,Pen,green-bear,LSBZQSXB5BJB,3.2,3,3.81,13.41,0.953
pen-bear-4,Pen,bear,XJBLQSXB5BJB,3.2,3,3.81,13.41,0.953
lego-01,Lego,,,4.1,4,6.51,22.91,1.220
lego-02,Lego,,,4.1,4,6.51,22.91,1.220
lego-flower,Lego,flower,,4.1,4,6.51,22.91,1.220
lego-03,Lego,,,4.1,4,6.51,22.91,1.220
lego-04,Lego,,,3.05,4,4.84,17.04,0.907
lego-05,Lego,,,3.05,4,4.84,17.04,0.907
lego-candy,Lego,candy,,3.05,4,4.84,17.04,0.907
lego-06,Lego,,,3.05,4,4.84,17.04,0.907
lego-flower-2,Lego,flower,,3.05,4,4.84,17.04,0.907
lego-07,Lego,,,5.2,4,8.26,29.06,1.548
lego-dog,Lego,dog,,5.2,4,8.26,29.06,1.548
lego-dog-2,Lego,dog,,5.2,4,8.26,29.06,1.548
lego-bear,Lego,bear,,5.2,4,8.26,29.06,1.548
lego-08,Lego,,,5.2,4,8.26,29.06,1.548
lego-09,Lego,,,5.2,4,8.26,29.06,1.548
lego-bear-2,Lego,bear,,2,4,3.18,11.18,0.595
lego-star-flower,Lego,star-flower,,2,4,3.18,11.18,0.595
lego-cloud,Lego,cloud,,2,4,3.18,11.18,0.595
lego-10,Lego,,,2,4,3.18,11.18,0.595
lego-flower-3,Lego,flower,,2,4,3.18,11.18,0.595
lego-11,Lego,,,2,4,3.18,11.18,0.595
bag-blue,Bag,blue,SQ21-lan,6.6,2,5.24,18.44,1.965
pouch-blue,Pouch,blue,SQ25-lan,4.9,2,3.89,13.69,1.460
pouch-green,Pouch,green,SQ25-lv,4.9,2,3.89,13.69,1.460
pouch-pink,Pouch,pink,SQ25-fen,4.9,2,3.89,13.69,1.460
plush-blue-leopard,Plush,blue-leopard,GX27-lan,6.6,2,5.24,18.44,1.965
plush-pink-brown-leopard,Plush,pink-brown-leopard,GX27-qian,6.6,2,5.24,18.44,1.965
plush-black-brown-leopard,Plush,black-brown-leopard,GX27-zong,6.6,2,5.24,18.44,1.965
plush-yellow-leopard,Plush,yellow-leopard,GX27-huang,6.6,2,5.24,18.44,1.965
plush-pink-leopard,Plush,pink-leopard,GX27-fen,6.6,2,5.24,18.44,1.965
charm-green,Charm,green,FX57-lv,2.9,2,2.30,8.10,0.865
charm-red,Charm,red,FX57-red,2.9,2,2.30,8.10,0.865
plush-pink-brown,Plush,pink-brown,GX30-pink,9.8,2,7.78,27.38,2.915
plush-yellow-2,Plush,yellow,GX30-huang,9.8,2,7.78,27.38,2.915
plush-brown,Plush,brown,GX30-ka,9.8,2,7.78,27.38,2.915
plush-blue,Plush,blue,GX30-lan,9.8,2,7.78,27.38,2.915
plush-pink,Plush,pink,GX30-fen,9.8,2,7.78,27.38,2.915
plush-brown-2,Plush,brown,SQ26-zong,10.5,5,20.84,73.34,3.124
plush-pink-2,Plush,pink,SQ26-fen,10.5,10,41.68,146.68,3.124
plush-red,Plush,red,SQ26-rose,10.5,5,20.84,73.34,3.124
pouch-bow-blue,Pouch,bow-blue,LM10-xiao,5.5,3,6.55,23.05,1.637
pouch-bow-pink,Pouch,bow-pink,LM09-xiao,5.5,3,6.55,23.05,1.637
makeup-bag-white,Makeup Bag,white,LM78-bai,6.6,3,7.86,27.66,1.963
makeup-bag-pink,Makeup Bag,pink,LM78-fen,6.6,3,7.86,27.66,1.963
plush-10,Plush,,FX41-qie,2.65,2,2.10,7.40,0.790
makeup-bag-green,Makeup Bag,green,GX26-lv,6.8,3,8.10,28.50,2.023
makeup-bag-pink-2,Makeup Bag,pink,GX26-fen,6.8,3,8.10,28.50,2.023
pencil-case-green,Pencil Case,green,GX31-lv,6.3,2,5.00,17.60,1.875
pencil-case-white,Pencil Case,white,GX31-bai,6.3,2,5.00,17.60,1.875
pencil-case-pink,Pencil Case,pink,GX31-fen,6.3,2,5.00,17.60,1.875
pencil-case-yellow,Pencil Case,yellow,LM23-huang,5.5,2,4.37,15.37,1.635
pencil-case-pink-2,Pencil Case,pink,LM23-fen,5.5,2,4.37,15.37,1.635
pencil-case-blue,Pencil Case,blue,LM23-lan,5.5,2,4.37,15.37,1.635
makeup-bag-heart-pink-flower,Makeup Bag,heart-pink-flower,SQ18-fen,6.6,3,7.86,27.66,1.963
makeup-bag-bow-star-black-pink,Makeup Bag,bow-star-black-pink,SQ18-hei,6.6,3,7.86,27.66,1.963
makeup-bag-heart-blue,Makeup Bag,heart-blue,SQ18-lan,6.6,3,7.86,27.66,1.963
makeup-bag-blue-pink-flower,Makeup Bag,blue-pink-flower,SQ18-hua,6.6,3,7.86,27.66,1.963
plush-pink-brown-2,Plush,pink-brown,GX21-qian,7.4,2,5.88,20.68,2.200
plush-brown-3,Plush,brown,GX21-zong,7.4,2,5.88,20.68,2.200
plush-pink-3,Plush,pink,GX21-fen,7.4,2,5.88,20.68,2.200
plush-purple,Plush,purple,GX21-zi,7.4,2,5.88,20.68,2.200
plush-blue-2,Plush,blue,GX21-lan,7.4,2,5.88,20.68,2.200
makeup-bag-red-checker,Makeup Bag,red-checker,FK03-red,6.6,2,5.24,18.44,1.965
makeup-bag-blue-checker,Makeup Bag,blue-checker,FK03-lan,6.6,2,5.24,18.44,1.965
makeup-bag-pink-checker,Makeup Bag,pink-checker,FK03-fen,6.6,2,5.24,18.44,1.965
makeup-bag-yellow-checker,Makeup Bag,yellow-checker,FK03-huang,6.6,2,5.24,18.44,1.965
pencil-case-white-2,Pencil Case,white,TY69-bai,7.9,2,6.27,22.07,2.350
pencil-case-pink-3,Pencil Case,pink,TY69-fen,7.9,2,6.27,22.07,2.350
pencil-case-black,Pencil Case,black,TY69-hei,7.9,2,6.27,22.07,2.350
plush-blue-3,Plush,blue,XB21-lan,6,3,7.15,25.15,1.787
plush-white,Plush,white,XB21-bai,6,3,7.15,25.15,1.787
pouch-white-small,Pouch,white-small,GX13-bai,6.7,3,7.98,28.08,1.993
pouch-pink-small,Pouch,pink-small,GX13-fen,6.7,3,7.98,28.08,1.993
bag-green,Bag,green,SQ21-lv,6.6,2,5.24,18.44,1.965
bag-pink,Bag,pink,SQ21-fen,6.6,2,5.24,18.44,1.965
pen-cat-2,Pen,cat,,1.35,4,2.14,7.54,0.403
pen-heart,Pen,heart,,1.35,4,2.14,7.54,0.403
journal-01,Journal,,6427,1.45,4,2.30,8.10,0.432
journal-02,Journal,,6410,1.45,4,2.30,8.10,0.432
notebook-dog-a,Notebook,dog-a,,0.85,8,2.70,9.50,0.253
notebook-gold-dog,Notebook,gold-dog,,1.65,4,2.62,9.22,0.490
notebook-gold,Notebook,gold,,1.65,4,2.62,9.22,0.490
notebook-gold-2,Notebook,gold,,1.65,4,2.62,9.22,0.490
paint-by-number-c,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-01,Paint By Number,,,3.5,2,2.78,9.78,1.040
paint-by-number-c-2,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-a,Paint By Number,a,,3.5,2,2.78,9.78,1.040
paint-by-number-d,Paint By Number,d,,3.5,2,2.78,9.78,1.040
paint-by-number-a-2,Paint By Number,a,,3.5,2,2.78,9.78,1.040
paint-by-number-a-3,Paint By Number,a,,3.5,2,2.78,9.78,1.040
paint-by-number-02,Paint By Number,,,3.5,2,2.78,9.78,1.040
paint-by-number-a-4,Paint By Number,a,,3.5,2,2.78,9.78,1.040
paint-by-number-c-3,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-d-2,Paint By Number,d,,3.5,2,2.78,9.78,1.040
paint-by-number-d-3,Paint By Number,d,,3.5,2,2.78,9.78,1.040
paint-by-number-c-4,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-a-5,Paint By Number,a,,3.5,2,2.78,9.78,1.040
paint-by-number-d-4,Paint By Number,d,,3.5,2,2.78,9.78,1.040
paint-by-number-c-5,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-c-6,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-03,Paint By Number,,,3.5,2,2.78,9.78,1.040
paint-by-number-d-5,Paint By Number,d,,3.5,2,2.78,9.78,1.040
paint-by-number-c-7,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-c-8,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-a-6,Paint By Number,a,,3.5,2,2.78,9.78,1.040
paint-by-number-c-9,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-c-10,Paint By Number,c,,3.5,2,2.78,9.78,1.040
paint-by-number-c-11,Paint By Number,c,,3.5,2,2.78,9.78,1.040
makeup-bag-bow-pink-white,Makeup Bag,bow-pink-white,,12.7,2,10.08,35.48,3.780
makeup-bag-flower,Makeup Bag,flower,,12.7,2,10.08,35.48,3.780
makeup-bag-01,Makeup Bag,,,12.7,2,10.08,35.48,3.780
makeup-bag-blue-butterfly,Makeup Bag,blue-butterfly,,12.7,2,10.08,35.48,3.780
makeup-bag-pink-3,Makeup Bag,pink,,9,2,7.15,25.15,2.680
